"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Colorado (CO) : Main Street - Breckenridge - 6684","225 S Main St, Breckenridge, CO 80424",27-RC-302626,9/2/2022,10/18/2022,5,7,0,41.66666667,"Lost election",39.479794,-106.046125,1,rooftop,225,"S Main St",,,Breckenridge,CO,"Summit County",80424,US,Summit
"Colorado (CO) : S Wadsworth and W Jewel - 5718","1897 S Wadsworth Blvd, Lakewood CO 80232-6815",27-RC-336351,2/20/2024,3/27/2024,7,12,,36.84210526,"Lost election",39.682541,-105.081773,1,rooftop,1897,"S Wadsworth Blvd",,,Lakewood,CO,"Jefferson County",80232,US,"Jefferson (Jefferson County)"
"Connecticut (CT) : Branford - 7485","6 N Main St, Branford CT 06405-3022",01-RC-312535,2/21/2023,4/11/2023,9,12,,42.85714286,"Lost election",41.278953,-72.825914,1,range_interpolation,6,"N Main St",,,Branford,CT,"South Central Connecticut Planning Region",06405,US,"TIGER/Line® dataset from the US Census Bureau"
"Connecticut (CT) : Manchester, Spencer Street - 6999","212 Spencer St, Manchester, CT 06040",01-RC-330883,11/29/2023,1/3/2024,9,9,,50,"Lost election",41.766635,-72.57028,1,rooftop,212,"Spencer St",,,Manchester,CT,"Capitol Planning Region",06040,US,"City of Manchester (City of Manchester)"
"Florida (FL) : 400 Park Avenue - 8343","400 S Park Ave, Winter Park FL 32789-4352",12-RC-295000,5/2/2022,7/20/2022,5,8,0,38.46153846,"Lost election",28.594855,-81.350605,1,rooftop,400,"S Park Ave",,,"Winter Park",FL,"Orange County",32789,US,"Orange (Public Domain Orange County)"
"Florida (FL) : 5485 University Parkway - 8562","5485 University Pkwy, University Park FL 34201-2012",12-RC-318968,5/30/2023,7/11/2023,7,9,1,43.75,"Lost election",27.388975,-82.460491,1,rooftop,5485,"University Pkwy",,,"University Park",FL,"Manatee County",34201,US,"Manatee (Manatee County CC BY 4.0)"
"Florida (FL) : 8th Ave & 49th St - 8868","583 W 49th St, Hialeah FL 33012-3646",12-RC-291975,3/9/2022,4/20/2022,12,14,3,46.15384615,"Lost election",25.867009,-80.293416,1,rooftop,583,"W 49th St",,,Hialeah,FL,"Miami-Dade County",33012,US,"Miami Dade (Public Domain Miami-Dade County)"
"Florida (FL) : Ben Hill Griffin Parkway - 52053","19533 Highland Oaks Dr Ste 140, Estero FL 33928-9638",12-RC-292669,3/22/2022,5/6/2022,11,21,0,34.375,"Lost election",26.440207,-81.772123,1,rooftop,19533,"Highland Oaks Dr",Ste,140,Estero,FL,"Lee County",33928,US,Lee
"Florida (FL) : Fruitville Rd & Honore Ave - 8687","5329 Fruitville Rd, Sarasota FL 34232-6402",12-RC-318968,5/30/2023,7/11/2023,7,9,,43.75,"Lost election",27.339357,-82.463269,1,rooftop,5329,"Fruitville Rd",,,Sarasota,FL,"Sarasota County",34232,US,"Sarasota (Public Domain Sarasota County)"
"Florida (FL) : Magnolia & Governors Square Blvd - 24562","222 S Magnolia Dr Ste 101, Tallahassee FL 32301-2991",12-RC-290711,2/16/2022,5/25/2022,9,15,2,37.5,"Lost election",30.440054,-84.262173,1,rooftop,222,"S Magnolia Dr",Ste,101,Tallahassee,FL,"Leon County",32301,US,Leon
"Georgia (GA) : Hwy 278 & Pace - 9980","3130 Highway 278 NW, Covington GA 30014-2304",10-RC-294094,4/15/2022,6/1/2022,4,18,0,18.18181818,"Lost election",33.603207,-83.861553,1,rooftop,3130,"Hwy 278",,,Covington,GA,"Newton County",30014,US,"Newton County"
"Hawaii (HI) : Mililani Shopping Center - 21011","95-221 Kipapa Dr, Mililani HI 96789-1147",20-RC-290481,2/11/2022,5/2/2022,7,8,1,46.66666667,"Lost election",21.458761,-158.016514,1,rooftop,95-221,"Kipapa Dr",,,Mililani,HI,"Honolulu County",96789,US,"Honolulu (City of Honolulu)"
"Illinois (IL) : Chicago Roastery - 53313","646 N Michigan Ave, Chicago IL 60611-2820",13-RC-321736,7/14/2023,8/25/2023,90,119,,43.06220096,"Lost election",41.89391,-87.624379,1,range_interpolation,646,"N Michigan Ave",,,Chicago,IL,"Cook County",60611,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois (IL) : Downtown LaGrange - 2214","38 S La Grange Rd, La Grange IL 60525-2429",13-RC-288995,1/14/2022,5/6/2022,6,9,0,40,"Lost election",41.813971,-87.869908,1,rooftop,38,"S La Grange Rd",,,"La Grange",IL,"Cook County",60525,US,Cook
"Illinois (IL) : Logan & California - 2492","2543 N California Ave, Chicago IL 60647-0656",13-RC-288667,1/10/2022,6/7/2022,8,10,0,44.44444444,"Lost election",41.927816,-87.697336,1,rooftop,2543,"N California Ave",,,Chicago,IL,"Cook County",60647,US,Cook
