"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"California (CA) : Northern California : Ocean & Water - Santa Cruz - 20587","745 Ocean St, Santa Cruz CA 95060-4002",32-RC-289855,2/1/2022,5/11/2022,13,1,0,92.85714286,"6. Joining the Fight To Win (Post-Election Victory)",36.979166,-122.021423,1,rooftop,745,"Ocean St",,,"Santa Cruz",CA,"Santa Cruz County",95060,US,"Santa Cruz (Santa Cruz County)"
"California (CA) : Northern California : San Francisco CA - 4094 18th St. - 9212","4094 18th St, San Francisco CA 94114-2534",20-RC-297117,6/6/2022,8/16/2022,7,2,,77.77777778,"6. Joining the Fight To Win (Post-Election Victory)",37.761093,-122.4347,1,rooftop,4094,"18th St",,,"San Francisco",CA,"San Francisco County",94114,US,"San Francisco (Public Domain Dedication and License (PDDL) v1.0)"
"California (CA) : Northern California : Travis Blvd - Solano Town Center - 6742","1450 Travis Blvd # P-1, Fairfield CA 94533-3451",20-RC-324326,8/22/2023,9/29/2023,14,2,0,87.5,"6. Joining the Fight To Win (Post-Election Victory)",38.258471,-122.054056,1,rooftop,1450,"Travis Blvd",,"P 1",Fairfield,CA,"Solano County",94533,US,"Solano (Solano County)"
"California (CA) : Northern California : W.Santa Clara at San Pedro Sq - 5324","145 W Santa Clara St, San Jose CA 95113-1705",32-RC-336049,2/20/2024,3/22/2024,9,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",37.335295,-121.892841,1,rooftop,145,"W Santa Clara St",,,"San Jose",CA,"Santa Clara County",95113,US,"City of San Jose2"
"California (CA) : Northern California : Washington & Linden - 7981","71 Washington St, Santa Clara CA 95050-6138",32-RC-303284,9/12/2022,10/21/2022,10,5,0,66.66666667,"6. Joining the Fight To Win (Post-Election Victory)",37.339572,-121.938655,1,rooftop,71,"Washington St",,,"Santa Clara",CA,"Santa Clara County",95050,US,"City of Santa Clara (PDDL)"
"California (CA) : Southern California : 2nd & Central - 6557","138 S Central Ave, Los Angeles CA 90012-3913",21-RC-292310,3/15/2022,5/23/2022,5,0,0,100,"6. Joining the Fight To Win (Post-Election Victory)",34.04826,-118.23908,1,rooftop,138,"S Central Ave",,,"Los Angeles",CA,"Los Angeles County",90012,US,"City of Los Angeles (CC0 1.0)"
"California (CA) : Southern California : Alameda & Shelton - 569","1190 W Alameda Ave Ste G-2, Burbank CA 91506-2806",31-RC-343592,6/4/2024,6/18/2024,13,4,,76.47058824,"6. Joining the Fight To Win (Post-Election Victory)",34.162593,-118.31463,1,nearest_rooftop_match,1190,"W Alameda Ave S",Ste,"G 2",Burbank,CA,"Los Angeles County",91506,US,"City of Burbank"
"California (CA) : Southern California : Bolsa & Edwards - 9630","6502 Bolsa Ave Ste 101, Huntington Beach CA 92647-2662",21-RC-295771,5/12/2022,7/22/2022,12,2,0,85.71428571,"6. Joining the Fight To Win (Post-Election Victory)",33.744235,-118.015397,1,rooftop,6502,"Bolsa Ave",Ste,101,"Huntington Beach",CA,"Orange County",92647,US,"Orange (CC0 1.0)"
"California (CA) : Southern California : Candlewood St. & Lakewood Blvd. - 5650","4833 Candlewood St, Lakewood CA 90712-1832",21-RC-291844,3/7/2022,5/13/2022,24,1,0,96,"6. Joining the Fight To Win (Post-Election Victory)",33.854153,-118.136513,1,rooftop,4833,"Candlewood St",,,Lakewood,CA,"Los Angeles County",90712,US,"Los Angeles (Los Angeles County)"
"California (CA) : Southern California : Downtown Disney Store - 19311","1570 S Disneyland Dr Ste 105, Anaheim CA 92802-2321",21-RC-292951,3/24/2022,6/16/2022,29,15,6,65.90909091,"6. Joining the Fight To Win (Post-Election Victory)",33.808537,-117.922108,1,rooftop,1570,"S Disneyland Dr",Ste,105,Anaheim,CA,"Orange County",92802,US,"City of Anaheim"
